segment,min_auctions,n_cells,median_hhi,frac_hhi_gt_025,frac_hhi_eq_1,median_n_solvers
all,1,164542,1.0,0.9816156361293773,0.6672399752038993,1.0
all,5,27122,0.42351984682327326,0.8884669272177568,0.056706732541847944,4.0
all,10,12874,0.3756585674336018,0.8129563461239708,0.026953549790274974,5.0
all,20,5664,0.34872016950698725,0.7533545197740112,0.018361581920903956,6.0
all,50,1774,0.3324463591617226,0.7046223224351748,0.014092446448703494,9.0
blue_chip,1,1404,0.34348024424187884,0.7136752136752137,0.04487179487179487,7.0
blue_chip,5,1258,0.3229869127093057,0.6804451510333863,0.0047694753577106515,8.0
blue_chip,10,1142,0.3175686636344997,0.6628721541155866,0.0008756567425569177,8.0
blue_chip,20,937,0.3203007431018032,0.6499466382070438,0.0,9.0
blue_chip,50,635,0.3200943868421599,0.6456692913385826,0.0,11.0
long_tail,1,163138,1.0,0.9839215878581323,0.6725962068923242,1.0
long_tail,5,25864,0.4281045731395929,0.8985849056603774,0.05923291060934117,4.0
long_tail,10,11732,0.38253894960517654,0.8275656324582339,0.029491987725877942,5.0
long_tail,20,4727,0.35433235425242104,0.7738523376348635,0.022001269303998306,6.0
long_tail,50,1139,0.34042963690961875,0.7374890254609306,0.021949078138718173,8.0
