frag_dec,n,mean_frag,act_rate,win_change,decile
0,64226,0.0013326743388732119,0.1901722044032012,0.1901722044032012,D1
1,64225,0.006219099986570006,0.23000389256520046,0.23000389256520046,D2
2,64225,0.015191228797925255,0.22769949396652395,0.22769949396652395,D3
3,64225,0.03090300051551778,0.2377890229661347,0.2377890229661347,D4
4,64226,0.05854700824811525,0.23587020832684583,0.23587020832684583,D5
5,64225,0.11159559124046495,0.23244842351109382,0.23244842351109382,D6
6,64225,0.22770509405412226,0.23503308680420398,0.23503308680420398,D7
7,64225,0.4996860074710873,0.2058232775398988,0.2058232775398988,D8
8,128451,0.9714807168009716,0.15387968953141665,0.15387968953141665,D9
